"Genome.Name","JGI.Analysis.Project.Type","Genome.Completeness"
"Desulfobacterales bacterium SG8_35_2","Genome from Metagenome",NA
"Desulfuromonadales bacterium JGI 02_F19 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-305-J08v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-305-J08v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-C02v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-C14v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-C14v3 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-D14v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-E02v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-E02v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-I03v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-I21v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-I21v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-J19v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-J19v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-M17v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-O04v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-O04v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-O09v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-O09v3 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-P11v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-P11v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-P19v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-308-P19v3 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-C15v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-C15v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-E10v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-E16v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-E16v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-F02v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Epsilonproteobacteria bacterium SCGC AD-311-I10v3 (contamination screened)","Single Cell Analysis (screened)",NA
"Erythrobacter sp. REDSEA-S22_B4","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S28_B2","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S34_B3","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S36_B6","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S37_B3","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S40_B1","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S41_B1","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S42_B5","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S43_B2","Genome from Metagenome",NA
"Erythrobacter sp. REDSEA-S45_B7","Genome from Metagenome",NA
"Flavobacteria bacterium MS024-2A (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteria MS024-3C (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 02_E13 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 02_E13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 02_N5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 02_N6 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 04_M17 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 04_M17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 04_M22 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 04_M9 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 04_M9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 04_N12 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 04_N12 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriaceae bacterium JGI 04_N16 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriaceae bacterium JGI 04_N16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacterium sp. SCGC AAA160-P02 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacterium sp. SCGC AAA536-G18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacterium sp. SCGC AAA536-P05 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriumles bacterium JGI 01_B21 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriumles bacterium JGI 01_B21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriumles bacterium JGI 01_D18 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriumles bacterium JGI 01_D18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriumles bacterium JGI 02_C17 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriumles bacterium JGI 02_C17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriumles bacterium JGI 02_I17 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriumles bacterium JGI 02_I17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Flavobacteriumles bacterium JGI 02_K9 (contamination screened)","Single Cell Analysis (screened)",NA
"Flavobacteriumles bacterium JGI 02_K9 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA001-B15 (unscreened) (sequencher)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA007-O20 (unscreened) (sequencher)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA008-P15 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-D02 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-D13 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-E13 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-F14 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-P09 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA076-P13 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA160-D02 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA168-I18 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA168-P09 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA240-I17 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA300-D14 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA536-J20 (unscreened)","Single Cell Analysis (unscreened)",NA
"gamma proteobacterium SCGC AAA536-N21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SCGC AB-629-K02 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SCGC AB-629-P17 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SCGC AC-312_N18v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Gammaproteobacteria bacterium SCGC AC-312_N18v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SCGC AC-337_M13v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Gammaproteobacteria bacterium SCGC AC-337_M13v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SCGC AC-337_P08v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Gammaproteobacteria bacterium SCGC AC-337_P08v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gammaproteobacteria bacterium SG8_11","Genome from Metagenome",NA
"Gammaproteobacteria bacterium SG8_15","Genome from Metagenome",NA
"Gammaproteobacteria bacterium SG8_30","Genome from Metagenome",NA
"Gammaproteobacteria bacterium SG8_31","Genome from Metagenome",NA
"Gammaproteobacteria bacterium SG8_47","Genome from Metagenome",NA
"Gemmatimonadales bacterium JGI 01_G21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gemmatimonadales bacterium JGI 01_H16 (contamination screened)","Single Cell Analysis (screened)",NA
"Gemmatimonadales bacterium JGI 01_H16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gemmatimonadales bacterium JGI 01_J4 (unscreened)","Single Cell Analysis (unscreened)",NA
"Gemmatimonas sp. SG8_17","Genome from Metagenome",NA
"Gemmatimonas sp. SG8_23","Genome from Metagenome",NA
"Gemmatimonas sp. SG8_28","Genome from Metagenome",NA
"Gemmatimonas sp. SG8_38_2","Genome from Metagenome",NA
"Gemmatimonas sp. SM23_52","Genome from Metagenome",NA
"Halomonadaceae bacterium JGI 04_I11 (contamination screened)","Single Cell Analysis (screened)",NA
"Halomonadaceae bacterium JGI 04_I11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Idiomarina sp. REDSEA-S21_B4","Genome from Metagenome",NA
"Idiomarina sp. REDSEA-S27_B4","Genome from Metagenome",NA
"Latescibacteria bacterium DG_63","Genome from Metagenome",NA
"Leptothrix ochracea L12 (unscreened) (Velvet/Newbler hyb)","Single Cell Analysis (unscreened)",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S14_B6","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S15_B10","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S15_B13","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S27_B1N12","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S33_B13","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S38_B13","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S39_B11","Genome from Metagenome",NA
"Marinimicrobia (SAR406 cluster) bacterium REDSEA-S39_B7","Genome from Metagenome",NA
"Marinimicrobia bacterium SCGC AAA160-B08","Single Cell Analysis (unscreened)",NA
"Marinimicrobia bacterium SCGC AAA298-D23","Single Cell Analysis (unscreened)",NA
"Marinobacter sp. REDSEA-S15_B16","Genome from Metagenome",NA
"Marinobacter sp. REDSEA-S21_B2N3","Genome from Metagenome",NA
"Marinobacter sp. REDSEA-S27_B10","Genome from Metagenome",NA
"Marinoscillum bacterium JGI 01_I16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Marinoscillum bacterium JGI 01_J22 (contamination screened)","Single Cell Analysis (screened)",NA
"Marinoscillum bacterium JGI 01_J22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Marinosulfonomonas sp. PRT002 (unscreened)","Single Cell Analysis (unscreened)",NA
"Marinosulfonomonas sp. PRT002 (unscreened)","Single Cell Analysis (unscreened)",NA
"Maritimibacter sp. REDSEA-S28_B5","Genome from Metagenome",NA
"Maritimibacter sp. REDSEA-S40_B3","Genome from Metagenome",NA
"Methylococcaceae sp. B42","Genome from Metagenome",NA
"Methylomonas bacterium JGI 01_C17 (contamination screened)","Single Cell Analysis (screened)",NA
"Methylomonas bacterium JGI 01_C17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Microgenomates bacterium DG_75","Genome from Metagenome",NA
"Microgenomates bacterium SCGC AAA040-P11 (contamination screened) (CrabSpa_001_265)","Single Cell Analysis (screened)",NA
"Moraxellaceae bacterium REDSEA-S29_B6","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S32_B1","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S35_B9","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S38_B3","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S42_B15","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S44_B2","Genome from Metagenome",NA
"Moraxellaceae bacterium REDSEA-S45_B11","Genome from Metagenome",NA
"Mucilaginibacter sp. PRT008 (unscreened)","Single Cell Analysis (unscreened)",NA
"Mucilaginibacter sp. PRT008 (unscreened) (paired end Illumina HiSeq)","Single Cell Analysis (unscreened)",NA
"Myxococcales bacterium SG8_38","Genome from Metagenome",NA
"Myxococcales bacterium SG8_38_1","Genome from Metagenome",NA
"Nitratireductor bacterium JGI 01_K17 (contamination screened)","Single Cell Analysis (screened)",NA
"Nitratireductor bacterium JGI 01_K17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Nitrospina bacterium JGI 01_F9 (contamination screened)","Single Cell Analysis (screened)",NA
"Nitrospina bacterium JGI 01_F9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Nitrospina sp. AB-629-B06 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Nitrospina sp. AB-629-B18 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Nitrospina sp. SCGC AAA288-L16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Nitrospira bacterium SG8_3","Genome from Metagenome",NA
"Nitrospira bacterium SG8_35_1","Genome from Metagenome",NA
"Nitrospira bacterium SG8_35_4","Genome from Metagenome",NA
"Nitrospira bacterium SM23_35","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-81","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-82","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-83","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-84","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-85","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-86","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-87","Genome from Metagenome",NA
"Nitrospirae bacterium JdFR-88","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S22_B2","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S25_B9","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S28_B4","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S30_B4","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S31_B4","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S33_B3","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S34_B5","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S36_B10","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S37_B12","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S39_B2","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S40_B4","Genome from Metagenome",NA
"Nocardioides sp. REDSEA-S43_B3","Genome from Metagenome",NA
"Oceanospirillales bacterium AAA076-B08","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-G06","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-J04","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-L08","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-M20","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-N14","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-O09","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-O16","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-P09","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium AAA076-P13","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium JGI 02_L14 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales bacterium JGI 02_L14 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium SCGC AAA298-N10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium SCGC AD-308-M23v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales bacterium SCGC AD-308-M23v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales bacterium SCGC AD-308-P08v2 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales bacterium SCGC AD-308-P08v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales SAR86 bacterium JGI 01_C21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales SAR86 bacterium JGI 01_M11 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales SAR86 bacterium JGI 01_M11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales SAR86 bacterium JGI 02_I10 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales SAR86 bacterium JGI 02_I10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Oceanospirillales SAR86 bacterium JGI 02_K4 (contamination screened)","Single Cell Analysis (screened)",NA
"Oceanospirillales SAR86 bacterium JGI 02_K4 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC1 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC10 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC11 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC12 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC2 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC3 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC4 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC5 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC7 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC8 (unscreened)","Single Cell Analysis (unscreened)",NA
"OD1-DSC9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Omnitrophica WOR_2 bacterium SM23_29","Genome from Metagenome",NA
"Omnitrophica WOR_2 bacterium SM23_72","Genome from Metagenome",NA
"Parcubacteria bacterium DG_72","Genome from Metagenome",NA
"Parcubacteria bacterium DG_74_1","Genome from Metagenome",NA
"Parcubacteria bacterium DG_74_2","Genome from Metagenome",NA
"Parcubacteria bacterium DG_74_3","Genome from Metagenome",NA
"Parcubacteria bacterium SG8_24","Genome from Metagenome",NA
"Pelagibacter bacterium JGI 01_B15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_C18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_D17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_E11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_E14 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_E16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_E6 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_E6 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_E9 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_E9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_F14 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_F14 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_H19 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_H19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_H21 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_H5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_I11 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_I11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_I12 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_I20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_J12 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_J12 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_J17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_J19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_J5 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_J5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_K20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 01_M13 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 01_M13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_D15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_F17 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_F17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_G5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_H12 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_H12 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_H13 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_H13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_H21 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_H21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_I7 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_I7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_I9 (contamination screened)","Single Cell Analysis (screened)",NA
"Pelagibacter bacterium JGI 02_I9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI 02_K11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI _01_L15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter bacterium JGI S72_01_I11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter sp. PRT004 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pelagibacter sp. PRT004 (unscreened)","Single Cell Analysis (unscreened)",NA
"Peptococcaceae bacterium JdFR-69","Genome from Metagenome",NA
"Phycisphaerae bacterium SG8_4","Genome from Metagenome",NA
"Phycisphaerae bacterium SM1_79","Genome from Metagenome",NA
"Phycisphaerae bacterium SM23_30","Genome from Metagenome",NA
"Phycisphaerae bacterium SM23_33","Genome from Metagenome",NA
"Planctomycetales bacterium JGI 01_E22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Planctomycetales bacterium JGI 01_G17 (contamination screened)","Single Cell Analysis (screened)",NA
"Planctomycetales bacterium JGI 01_G17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Planctomycetes bacterium DG_20","Genome from Metagenome",NA
"Planctomycetes bacterium DG_23","Genome from Metagenome",NA
"Planctomycetes bacterium DG_58","Genome from Metagenome",NA
"Planctomycetes bacterium SM23_25","Genome from Metagenome",NA
"Planctomycetes bacterium SM23_32","Genome from Metagenome",NA
"Planctomycetes bacterium SM23_65","Genome from Metagenome",NA
"Prochlorococcus bacterium JGI 01_M5 (contamination screened)","Single Cell Analysis (screened)",NA
"Prochlorococcus bacterium JGI 01_M5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus bacterium JGI 02_N20 (contamination screened)","Single Cell Analysis (screened)",NA
"Prochlorococcus bacterium JGI 02_N20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus marinus bv. HNLC1","Genome from Metagenome",NA
"Prochlorococcus marinus bv. HNLC2","Genome from Metagenome",NA
"Prochlorococcus sp. REDSEA-S17_B1","Genome from Metagenome",NA
"Prochlorococcus sp. REDSEA-S22_B1","Genome from Metagenome",NA
"Prochlorococcus sp. REDSEA-S23_B1","Genome from Metagenome",NA
"Prochlorococcus sp. REDSEA-S28_B1","Genome from Metagenome",NA
"Prochlorococcus sp. scB243_498N8 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB243_498P15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB243_498P3 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518A17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518A6 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518D8 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518E10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518I6 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518J7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518K17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_518O7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519A13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519B7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519C7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519D13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519E23 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519G16 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519L21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519O11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_519O21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_520B18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_520D2 (unscreened)","Single Cell Analysis (unscreened)",NA
